Order	ID	Especie	Locacion	Estatus2	Fecha_colecta	Estado	Municipio	Latitud	Longitud	Altitud	Cluster-Admix	Population	Subset
41	OriMon_1	P. coccineus	OrillaDelMonte	Cultivar	6-Sep-15	Veracruz	Jalacingo	19.660901	-97.293402	2402	Cult-TMVB	Cult-TMVB	Excluded
42	OriMon_10	P. coccineus	OrillaDelMonte	Cultivar	6-Sep-15	Veracruz	Jalacingo	19.660901	-97.293402	2402	Cult-TMVB	Cult-TMVB	Included
43	OriMon_2	P. coccineus	OrillaDelMonte	Cultivar	6-Sep-15	Veracruz	Jalacingo	19.660901	-97.293402	2402	Cult-TMVB	Cult-TMVB	Included
44	OriMon_3	P. coccineus	OrillaDelMonte	Cultivar	6-Sep-15	Veracruz	Jalacingo	19.660901	-97.293402	2402	Cult-TMVB	Cult-TMVB	Included
45	OriMon_4	P. coccineus	OrillaDelMonte	Cultivar	6-Sep-15	Veracruz	Jalacingo	19.660901	-97.293402	2402	Cult-TMVB	Cult-TMVB	Excluded
46	OriMon_5	P. coccineus	OrillaDelMonte	Cultivar	6-Sep-15	Veracruz	Jalacingo	19.660901	-97.293402	2402	Cult-TMVB	Cult-TMVB	Included
47	OriMon_6	P. coccineus	OrillaDelMonte	Cultivar	6-Sep-15	Veracruz	Jalacingo	19.660901	-97.293402	2402	Cult-TMVB	Cult-TMVB	Included
48	OriMon_7	P. coccineus	OrillaDelMonte	Cultivar	6-Sep-15	Veracruz	Jalacingo	19.660901	-97.293402	2402	Cult-TMVB	Cult-TMVB	Included
49	OriMon_8	P. coccineus	OrillaDelMonte	Cultivar	6-Sep-15	Veracruz	Jalacingo	19.660901	-97.293402	2402	Cult-TMVB	Cult-TMVB	Included
50	OriMon_9	P. coccineus	OrillaDelMonte	Cultivar	6-Sep-15	Veracruz	Jalacingo	19.660901	-97.293402	2402	Cult-TMVB	Cult-TMVB	Excluded
51	REP_101	P. coccineus	REPSA	Wild	2015	CiudadMexico	Coyoacan	19.317204	-99.195192	2328	Wild-TMVB	Wild-TMVB-CDMX	Included
52	REP_102	P. coccineus	REPSA	Wild	2015	CiudadMexico	Coyoacan	19.317204	-99.195192	2328	Wild-TMVB	Wild-TMVB-CDMX	Excluded
53	REP_103	P. coccineus	REPSA	Wild	2015	CiudadMexico	Coyoacan	19.317204	-99.195192	2328	Wild-TMVB	Wild-TMVB-CDMX	Included
54	REP_104	P. coccineus	REPSA	Wild	2015	CiudadMexico	Coyoacan	19.317204	-99.195192	2328	Wild-TMVB	Wild-TMVB-CDMX	Included
55	REP_105	P. coccineus	REPSA	Wild	2015	CiudadMexico	Coyoacan	19.317204	-99.195192	2328	Wild-TMVB	Wild-TMVB-CDMX	Excluded
56	REP_106	P. coccineus	REPSA	Wild	2015	CiudadMexico	Coyoacan	19.317204	-99.195192	2328	Wild-TMVB	Wild-TMVB-CDMX	Included
57	REP_2	P. coccineus	REPSA	Wild	2015	CiudadMexico	Coyoacan	19.317204	-99.195192	2328	Wild-TMVB	Wild-TMVB-CDMX	Included
58	REP_3	P. coccineus	REPSA	Wild	2015	CiudadMexico	Coyoacan	19.317204	-99.195192	2328	Wild-TMVB	Wild-TMVB-CDMX	Included
59	REP_5	P. coccineus	REPSA	Wild	2015	CiudadMexico	Coyoacan	19.317204	-99.195192	2328	Wild-TMVB	Wild-TMVB-CDMX	Excluded
60	REP_6	P. coccineus	REPSA	Wild	2015	CiudadMexico	Coyoacan	19.317204	-99.195192	2328	Wild-TMVB	Wild-TMVB-CDMX	Included
61	REP_A	P. coccineus	REPSA	Wild	2015	CiudadMexico	Coyoacan	19.317204	-99.195192	2328	Wild-TMVB	Wild-TMVB-CDMX	Included
62	SanJoa_101	P. coccineus	SanJoaquin	Wild	ago-15	Quer??taro	San Joanquin	20.9255	-99.56361667	2381	Wild-TMVB	Wild-TMVB-SanJoa	Included
63	SanJoa_102	P. coccineus	SanJoaquin	Wild	ago-15	Quer??taro	San Joanquin	20.9255	-99.56361667	2381	Wild-TMVB	Wild-TMVB-SanJoa	Included
64	SanJoa_103	P. coccineus	SanJoaquin	Wild	ago-15	Quer??taro	San Joanquin	20.9255	-99.56361667	2381	Wild-TMVB	Wild-TMVB-SanJoa	Included
65	SanJoa_105	P. coccineus	SanJoaquin	Wild	ago-15	Quer??taro	San Joanquin	20.9255	-99.56361667	2381	Wild-TMVB	Wild-TMVB-SanJoa	Included
66	SanJoa_106	P. coccineus	SanJoaquin	Wild	ago-15	Quer??taro	San Joanquin	20.9255	-99.56361667	2381	Wild-TMVB	Wild-TMVB-SanJoa	Included
67	SanJoa_107	P. coccineus	SanJoaquin	Wild	ago-15	Quer??taro	San Joanquin	20.9255	-99.56361667	2381	Wild-TMVB	Wild-TMVB-SanJoa	Included
68	Tepoz_1	P. coccineus	Tepoztlan	Wild	2-Sep-15	Morelos	Tepoztlan	19.00491667	-99.13247222	1953	Wild-TMVB	Wild-TMVB-Tepoz	Included
69	Tepoz_10	P. coccineus	Tepoztlan	Wild	2-Sep-15	Morelos	Tepoztlan	19.00491667	-99.13247222	1953	Wild-TMVB	Wild-TMVB-Tepoz	Included
70	Tepoz_11	P. coccineus	Tepoztlan	Wild	2-Sep-15	Morelos	Tepoztlan	19.00491667	-99.13247222	1953	Wild-TMVB	Wild-TMVB-Tepoz	Included
71	Tepoz_12	P. coccineus	Tepoztlan	Wild	2-Sep-15	Morelos	Tepoztlan	19.00491667	-99.13247222	1953	Wild-TMVB	Wild-TMVB-Tepoz	Included
72	Tepoz_13	P. coccineus	Tepoztlan	Wild	2-Sep-15	Morelos	Tepoztlan	19.00491667	-99.13247222	1953	Wild-TMVB	Wild-TMVB-Tepoz	Included
73	Tepoz_16	P. coccineus	Tepoztlan	Wild	2-Sep-15	Morelos	Tepoztlan	19.00491667	-99.13247222	1953	Wild-TMVB	Wild-TMVB-Tepoz	Included
74	Tepoz_17	P. coccineus	Tepoztlan	Wild	2-Sep-15	Morelos	Tepoztlan	19.00491667	-99.13247222	1953	Wild-TMVB	Wild-TMVB-Tepoz	Included
75	Tepoz_2	P. coccineus	Tepoztlan	Wild	2-Sep-15	Morelos	Tepoztlan	19.00491667	-99.13247222	1953	Wild-TMVB	Wild-TMVB-Tepoz	Included
76	Tepoz_4	P. coccineus	Tepoztlan	Wild	2-Sep-15	Morelos	Tepoztlan	19.00491667	-99.13247222	1953	Wild-TMVB	Wild-TMVB-Tepoz	Included
77	Tepoz_6	P. coccineus	Tepoztlan	Wild	2-Sep-15	Morelos	Tepoztlan	19.00491667	-99.13247222	1953	Wild-TMVB	Wild-TMVB-Tepoz	Included
78	Tepoz_7	P. coccineus	Tepoztlan	Wild	2-Sep-15	Morelos	Tepoztlan	19.00491667	-99.13247222	1953	Wild-TMVB	Wild-TMVB-Tepoz	Included
79	Tepoz_8	P. coccineus	Tepoztlan	Wild	2-Sep-15	Morelos	Tepoztlan	19.00491667	-99.13247222	1953	Wild-TMVB	Wild-TMVB-Tepoz	Excluded
80	Tepoz_9	P. coccineus	Tepoztlan	Wild	2-Sep-15	Morelos	Tepoztlan	19.00491667	-99.13247222	1953	Wild-TMVB	Wild-TMVB-Tepoz	Included
81	Tlalp_1	P. coccineus	Tlalpan	Wild	27/09/2015	CiudadMexico	Tlalpan	19.292935	-99.191807	2334	Wild-TMVB	Wild-TMVB-CDMX	Included
82	Tlalp_2	P. coccineus	Tlalpan	Wild	27/09/2015	CiudadMexico	Tlalpan	19.292935	-99.191807	2334	Wild-TMVB	Wild-TMVB-CDMX	Included
83	Tlalp_3	P. coccineus	Tlalpan	Wild	27/09/2015	CiudadMexico	Tlalpan	19.292935	-99.191807	2334	Wild-TMVB	Wild-TMVB-CDMX	Included
