Order	ID	Especie	Locacion	Estatus2	Fecha_colecta	Estado	Municipio	Latitud	Longitud	Altitud	Cluster-Admix	Population	Subset
166	naha_02	P. coccineus	Naha	Cultivar	15/12/15	Chiapas	Ocosingo	16.94064	-91.590376	917	Cult-SUR-CH	Cult-SUR-CH	Excluded
167	naha_03	P. coccineus	Naha	Cultivar	15/12/15	Chiapas	Ocosingo	16.94064	-91.590376	917	Cult-SUR-CH	Cult-SUR-CH	Included
168	naha_04	P. coccineus	Naha	Cultivar	15/12/15	Chiapas	Ocosingo	16.94064	-91.590376	917	Cult-SUR-CH	Cult-SUR-CH	Included
169	naha_05	P. coccineus	Naha	Cultivar	15/12/15	Chiapas	Ocosingo	16.94064	-91.590376	917	Cult-SUR-CH	Cult-SUR-CH	Included
170	naha_06	P. coccineus	Naha	Cultivar	15/12/15	Chiapas	Ocosingo	16.94064	-91.590376	917	Cult-SUR-CH	Cult-SUR-CH	Included
171	naha_07	P. coccineus	Naha	Cultivar	15/12/15	Chiapas	Ocosingo	16.94064	-91.590376	917	Cult-SUR-CH	Cult-SUR-CH	Excluded
172	naha_08	P. coccineus	Naha	Cultivar	15/12/15	Chiapas	Ocosingo	16.94064	-91.590376	917	Cult-SUR-CH	Cult-SUR-CH	Excluded
173	naha_09	P. coccineus	Naha	Cultivar	15/12/15	Chiapas	Ocosingo	16.94064	-91.590376	917	Cult-SUR-CH	Cult-SUR-CH	Included
174	naha_10	P. coccineus	Naha	Cultivar	15/12/15	Chiapas	Ocosingo	16.94064	-91.590376	917	Cult-SUR-CH	Cult-SUR-CH	Included
175	naha_11	P. coccineus	Naha	Cultivar	15/12/15	Chiapas	Ocosingo	16.94064	-91.590376	917	Cult-SUR-CH	Cult-SUR-CH	Included
176	naha_12	P. coccineus	Naha	Cultivar	15/12/15	Chiapas	Ocosingo	16.94064	-91.590376	917	Cult-SUR-CH	Cult-SUR-CH	Included
177	oxch_03	P. coccineus	Oxchuc	Cultivar	16/12/15	Chiapas	Oxchuc	16.803412	-92.322096	2001	Cult-SUR-CH	Cult-SUR-CH	Excluded
178	oxch_04	P. coccineus	Oxchuc	Cultivar	16/12/15	Chiapas	Oxchuc	16.803412	-92.322096	2001	Cult-SUR-CH	Cult-SUR-CH	Excluded
179	oxch_05	P. coccineus	Oxchuc	Cultivar	16/12/15	Chiapas	Oxchuc	16.803412	-92.322096	2001	Cult-SUR-CH	Cult-SUR-CH	Excluded
180	oxch_06	P. coccineus	Oxchuc	Cultivar	16/12/15	Chiapas	Oxchuc	16.803412	-92.322096	2001	Cult-SUR-CH	Cult-SUR-CH	Excluded
181	oxch_07	P. coccineus	Oxchuc	Cultivar	16/12/15	Chiapas	Oxchuc	16.803412	-92.322096	2001	Cult-SUR-CH	Cult-SUR-CH	Excluded
182	oxch_08	P. coccineus	Oxchuc	Cultivar	16/12/15	Chiapas	Oxchuc	16.803412	-92.322096	2001	Cult-SUR-CH	Cult-SUR-CH	Excluded
183	oxch_10	P. coccineus	Oxchuc	Cultivar	16/12/15	Chiapas	Oxchuc	16.803412	-92.322096	2001	Cult-SUR-CH	Cult-SUR-CH	Included
184	oxch_11	P. coccineus	Oxchuc	Cultivar	16/12/15	Chiapas	Oxchuc	16.803412	-92.322096	2001	Cult-SUR-CH	Cult-SUR-CH	Included
185	oxch_12c	P. coccineus	Oxchuc	Cultivar	16/12/15	Chiapas	Oxchuc	16.803412	-92.322096	2001	Cult-SUR-CH	Cult-SUR-CH	Included
186	oxch_13c	P. coccineus	Oxchuc	Cultivar	16/12/15	Chiapas	Oxchuc	16.803412	-92.322096	2001	Cult-SUR-CH	Cult-SUR-CH	Included
187	oxch_14	P. coccineus	Oxchuc	Cultivar	16/12/15	Chiapas	Oxchuc	16.803412	-92.322096	2001	Cult-SUR-CH	Cult-SUR-CH	Included
188	oxch_15	P. coccineus	Oxchuc	Cultivar	16/12/15	Chiapas	Oxchuc	16.803412	-92.322096	2001	Cult-SUR-CH	Cult-SUR-CH	Included
189	pual_01	P. coccineus	Tlalancaneca	Cultivar	2015	Puebla	San Matias Tlalancaleca	19.362396	-98.508132	2372	Cult-TMVB	Cult-TMVB	Excluded
190	pual_02	P. coccineus	Tlalancaneca	Cultivar	2015	Puebla	San Matias Tlalancaleca	19.362396	-98.508132	2372	Cult-TMVB	Cult-TMVB	Included
191	pual_03	P. coccineus	Tlalancaneca	Cultivar	2015	Puebla	San Matias Tlalancaleca	19.362396	-98.508132	2372	Cult-TMVB	Cult-TMVB	Excluded
192	pual_04	P. coccineus	Tlalancaneca	Cultivar	2015	Puebla	San Matias Tlalancaleca	19.362396	-98.508132	2372	Cult-TMVB	Cult-TMVB	Excluded
193	pual_05	P. coccineus	Tlalancaneca	Cultivar	2015	Puebla	San Matias Tlalancaleca	19.362396	-98.508132	2372	Cult-TMVB	Cult-TMVB	Included
194	pual_06	P. coccineus	Tlalancaneca	Cultivar	2015	Puebla	San Matias Tlalancaleca	19.362396	-98.508132	2372	Cult-TMVB	Cult-TMVB	Excluded
195	pual_07	P. coccineus	Tlalancaneca	Cultivar	2015	Puebla	San Matias Tlalancaleca	19.362396	-98.508132	2372	Cult-TMVB	Cult-TMVB	Included
196	pual_08	P. coccineus	Tlalancaneca	Cultivar	2015	Puebla	San Matias Tlalancaleca	19.362396	-98.508132	2372	Cult-TMVB	Cult-TMVB	Included
197	pual_09	P. coccineus	Tlalancaneca	Cultivar	2015	Puebla	San Matias Tlalancaleca	19.362396	-98.508132	2372	Cult-TMVB	Cult-TMVB	Excluded
198	pual_10	P. coccineus	Tlalancaneca	Cultivar	2015	Puebla	San Matias Tlalancaleca	19.362396	-98.508132	2372	Cult-TMVB	Cult-TMVB	Included
199	pual_11	P. coccineus	Tlalancaneca	Cultivar	2015	Puebla	San Matias Tlalancaleca	19.362396	-98.508132	2372	Cult-TMVB	Cult-TMVB	Excluded
200	pual_12	P. coccineus	Tlalancaneca	Cultivar	2015	Puebla	San Matias Tlalancaleca	19.362396	-98.508132	2372	Cult-TMVB	Cult-TMVB	Excluded
201	regc_01	P. coccineus	Regocijo-C	Cultivar	26-Oct-15	Durango	Durango	23.68485333	-105.1249	2566	Cult-SMOCC	Cult-SMOCC	Included
202	regc_02c	P. coccineus	Regocijo-C	Cultivar	26-Oct-15	Durango	Durango	23.68485333	-105.1249	2566	Cult-SMOCC	Cult-SMOCC	Included
203	regc_04	P. coccineus	Regocijo-C	Cultivar	26-Oct-15	Durango	Durango	23.68485333	-105.1249	2566	Cult-SMOCC	Cult-SMOCC	Excluded
204	regc_05	P. coccineus	Regocijo-C	Cultivar	26-Oct-15	Durango	Durango	23.68485333	-105.1249	2566	Cult-SMOCC	Cult-SMOCC	Excluded
205	regc_06	P. coccineus	Regocijo-C	Cultivar	26-Oct-15	Durango	Durango	23.68485333	-105.1249	2566	Cult-SMOCC	Cult-SMOCC	Excluded
206	regs_01	P. coccineus	Regocijo-S	Wild	26-Oct-15	Durango	Durango	23.68485333	-105.1249	2566	Wild-SMOCC	Wild-SMOCC-Rego	Included
207	regs_02	P. coccineus	Regocijo-S	Wild	26-Oct-15	Durango	Durango	23.68485333	-105.1249	2566	Wild-SMOCC	Wild-SMOCC-Rego	Included
208	regs_03	P. coccineus	Regocijo-S	Wild	26-Oct-15	Durango	Durango	23.68485333	-105.1249	2566	Wild-SMOCC	Wild-SMOCC-Rego	Excluded
209	regs_04	P. coccineus	Regocijo-S	Wild	26-Oct-15	Durango	Durango	23.68485333	-105.1249	2566	Wild-SMOCC	Wild-SMOCC-Rego	Included
210	regs_05	P. coccineus	Regocijo-S	Wild	26-Oct-15	Durango	Durango	23.68485333	-105.1249	2566	Wild-SMOCC	Wild-SMOCC-Rego	Included
211	regs_06	P. coccineus	Regocijo-S	Wild	26-Oct-15	Durango	Durango	23.68485333	-105.1249	2566	Wild-SMOCC	Wild-SMOCC-Rego	Included
212	regs_08	P. coccineus	Regocijo-S	Wild	26-Oct-15	Durango	Durango	23.68485333	-105.1249	2566	Wild-SMOCC	Wild-SMOCC-Rego	Included
213	regs_09	P. coccineus	Regocijo-S	Wild	26-Oct-15	Durango	Durango	23.68485333	-105.1249	2566	Wild-SMOCC	Wild-SMOCC-Rego	Included
214	regs_10	P. coccineus	Regocijo-S	Wild	26-Oct-15	Durango	Durango	23.68485333	-105.1249	2566	Wild-SMOCC	Wild-SMOCC-Rego	Included
215	regs_11	P. coccineus	Regocijo-S	Wild	26-Oct-15	Durango	Durango	23.68485333	-105.1249	2566	Wild-SMOCC	Wild-SMOCC-Rego	Included
216	regs_13	P. coccineus	Regocijo-S	Wild	26-Oct-15	Durango	Durango	23.68485333	-105.1249	2566	Wild-SMOCC	Wild-SMOCC-Rego	Included
217	regs_15	P. coccineus	Regocijo-S	Wild	26-Oct-15	Durango	Durango	23.68485333	-105.1249	2566	Wild-SMOCC	Wild-SMOCC-Rego	Included
218	regs_17	P. coccineus	Regocijo-S	Wild	26-Oct-15	Durango	Durango	23.68485333	-105.1249	2566	Wild-SMOCC	Wild-SMOCC-Rego	Included
219	scri_01	P. coccineus	SanCristobal	Wild	16/12/15	Chiapas	San Cristobal	16.69805556	-92.60277778	2229	Wild-SUR-CH	Wild-SUR-CH	Excluded
220	scri_02	P. coccineus	SanCristobal	Wild	16/12/15	Chiapas	San Cristobal	16.69805556	-92.60277778	2229	Wild-SUR-CH	Wild-SUR-CH	Included
221	scri_03	P. coccineus	SanCristobal	Wild	16/12/15	Chiapas	San Cristobal	16.69805556	-92.60277778	2229	Wild-SUR-CH	Wild-SUR-CH	Included
222	scri_04	P. coccineus	SanCristobal	Wild	16/12/15	Chiapas	San Cristobal	16.69805556	-92.60277778	2229	Wild-SUR-CH	Wild-SUR-CH	Included
223	scri_05	P. coccineus	SanCristobal	Wild	16/12/15	Chiapas	San Cristobal	16.69805556	-92.60277778	2229	Wild-SUR-CH	Wild-SUR-CH	Included
224	scri_14	P. coccineus	SanCristobal	Wild	16/12/15	Chiapas	San Cristobal	16.69805556	-92.60277778	2229	Wild-SUR-CH	Wild-SUR-CH	Included
225	scri_16	P. coccineus	SanCristobal	Wild	16/12/15	Chiapas	San Cristobal	16.69805556	-92.60277778	2229	Wild-SUR-CH	Wild-SUR-CH	Included
226	viun_01	P. coccineus	VillaUnion	Cultivar	NA	Durango	Poanas	23.974722	-104.044444	1901	Cult-SMOCC	Cult-SMOCC	Included
227	viun_02	P. coccineus	VillaUnion	Cultivar	NA	Durango	Poanas	23.974722	-104.044444	1901	Cult-SMOCC	Cult-SMOCC	Included
228	viun_03	P. coccineus	VillaUnion	Cultivar	NA	Durango	Poanas	23.974722	-104.044444	1901	Cult-SMOCC	Cult-SMOCC	Included
229	viun_04	P. coccineus	VillaUnion	Cultivar	NA	Durango	Poanas	23.974722	-104.044444	1901	Cult-SMOCC	Cult-SMOCC	Included
230	viun_05	P. coccineus	VillaUnion	Cultivar	NA	Durango	Poanas	23.974722	-104.044444	1901	Cult-SMOCC	Cult-SMOCC	Excluded
231	viun_06	P. coccineus	VillaUnion	Cultivar	NA	Durango	Poanas	23.974722	-104.044444	1901	Cult-SMOCC	Cult-SMOCC	Included
232	viun_07	P. coccineus	VillaUnion	Cultivar	NA	Durango	Poanas	23.974722	-104.044444	1901	Cult-SMOCC	Cult-SMOCC	Included
233	viun_08	P. coccineus	VillaUnion	Cultivar	NA	Durango	Poanas	23.974722	-104.044444	1901	Cult-SMOCC	Cult-SMOCC	Included
234	viun_09	P. coccineus	VillaUnion	Cultivar	NA	Durango	Poanas	23.974722	-104.044444	1901	Cult-SMOCC	Cult-SMOCC	Included
235	viun_10	P. coccineus	VillaUnion	Cultivar	NA	Durango	Poanas	23.974722	-104.044444	1901	Cult-SMOCC	Cult-SMOCC	Included
236	viun_11	P. coccineus	VillaUnion	Cultivar	NA	Durango	Poanas	23.974722	-104.044444	1901	Cult-SMOCC	Cult-SMOCC	Included
237	viun_12	P. coccineus	VillaUnion	Cultivar	NA	Durango	Poanas	23.974722	-104.044444	1901	Cult-SMOCC	Cult-SMOCC	Included
