pop,V1,V2,V3,V4,V5,V6,V7,V8,V9
Comaltepec,0.00001,0.00001,0.00001,0.00001,0.83093,0.000015,0.00001,0.168995,0.00001
Comaltepec,0.00001,0.00001,0.00001,0.00001,0.818278,0.00001,0.00001,0.181652,0.00001
Comaltepec,0.00001,0.00001,0.00001,0.00001,0.84038,0.000016,0.00001,0.159543,0.00001
SanCristobal,0.120201,0.00001,0.00001,0.00001,0.879729,0.00001,0.00001,0.00001,0.00001
SanCristobal,0.160109,0.00001,0.00001,0.00627,0.833561,0.00001,0.00001,0.00001,0.00001
SanCristobal,0.00001,0.00001,0.00001,0.00001,0.99992,0.00001,0.00001,0.00001,0.00001
SanCristobal,0.00001,0.00001,0.00001,0.00001,0.99992,0.00001,0.00001,0.00001,0.00001
SanCristobal,0.000016,0.00001,0.00001,0.00001,0.999914,0.00001,0.00001,0.00001,0.00001
SanCristobal,0.18654,0.00001,0.00001,0.00001,0.780561,0.00001,0.03284,0.00001,0.00001
SanCristobal,0.00001,0.00001,0.00001,0.00001,0.999917,0.00001,0.000013,0.00001,0.00001
SanJoaquin,0.002733,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.997197,0.00001
SanJoaquin,0.045151,0.00001,0.000505,0.00001,0.00001,0.038091,0.00001,0.916202,0.00001
SanJoaquin,0.014902,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.985028,0.00001
SanJoaquin,0.012037,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.987893,0.00001
SanJoaquin,0.016913,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.983017,0.00001
SanJoaquin,0.043408,0.00001,0.01995,0.00001,0.00001,0.001193,0.00001,0.935398,0.00001
Tlalpan,0.021073,0.00001,0.00001,0.013111,0.00001,0.230708,0.00001,0.656232,0.078835
Tlalpan,0.036626,0.00001,0.00001,0.002254,0.00001,0.229279,0.009132,0.674426,0.048254
Tlalpan,0.00001,0.00001,0.00001,0.009269,0.00001,0.18721,0.00001,0.748251,0.05522
Tlalpan,0.001143,0.00001,0.006609,0.012173,0.00001,0.192776,0.00001,0.717523,0.069746
Tlalpan,0.00001,0.00001,0.00001,0.00001,0.00001,0.204848,0.00001,0.743354,0.051738
Tlalpan,0.00001,0.00001,0.00001,0.008716,0.00001,0.217007,0.00001,0.729868,0.044359
Tlalpan,0.00001,0.00001,0.00001,0.00001,0.013994,0.183064,0.00001,0.749464,0.053429
Tlalpan,0.001521,0.00001,0.00001,0.00001,0.00001,0.267431,0.00001,0.660256,0.070741
REPSA,0.00001,0.00001,0.00001,0.019448,0.00001,0.06149,0.00001,0.837934,0.081079
REPSA,0.00001,0.00001,0.00001,0.00001,0.00001,0.113618,0.00001,0.864792,0.02153
REPSA,0.00001,0.00001,0.00001,0.00001,0.00001,0.138388,0.004043,0.857509,0.00001
REPSA,0.00001,0.00001,0.00001,0.00001,0.00001,0.099865,0.00001,0.900065,0.00001
REPSA,0.00001,0.00001,0.00001,0.00001,0.00001,0.105043,0.00001,0.875278,0.01962
REPSA,0.00001,0.00001,0.00001,0.00001,0.00001,0.100512,0.00001,0.895336,0.004091
REPSA,0.00001,0.00001,0.00001,0.00001,0.00001,0.046283,0.00001,0.953647,0.00001
REPSA,0.00001,0.00001,0.009577,0.000158,0.00001,0.112215,0.00001,0.878001,0.00001
REPSA,0.00001,0.00001,0.00001,0.00001,0.00001,0.113745,0.00001,0.875549,0.010646
REPSA,0.00001,0.00001,0.00001,0.00001,0.00001,0.075724,0.00001,0.924206,0.00001
REPSA,0.00001,0.00001,0.002312,0.008868,0.00001,0.161653,0.00001,0.80572,0.021407
Tepoztlan,0.00001,0.000015,0.00001,0.000015,0.00001,0.00001,0.00001,0.999909,0.00001
Tepoztlan,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99992,0.00001
Tepoztlan,0.00001,0.00001,0.00001,0.00001,0.00001,0.000011,0.00001,0.999919,0.00001
Tepoztlan,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99992,0.00001
Tepoztlan,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99992,0.00001
Tepoztlan,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99992,0.00001
Tepoztlan,0.00001,0.000014,0.00001,0.00001,0.00001,0.00001,0.00001,0.999916,0.00001
Tepoztlan,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99992,0.00001
Tepoztlan,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99992,0.00001
Tepoztlan,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99992,0.00001
Tepoztlan,0.00001,0.00001,0.000012,0.00001,0.00001,0.000011,0.00001,0.999917,0.00001
Tepoztlan,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99992,0.00001
Tepoztlan,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99992,0.00001
TresMarias,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99992
TresMarias,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99992
TresMarias,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99992
TresMarias,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99992
TresMarias,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99992
TresMarias,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99992
TresMarias,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99992
TresMarias,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99992
TresMarias,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99992
TresMarias,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99992
TresMarias,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99992
TresMarias,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99992
TresMarias,0.044166,0.00001,0.00001,0.000012,0.00001,0.024512,0.00001,0.00001,0.931259
TresMarias,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99992
TresMarias,0.00001,0.00001,0.00001,0.000016,0.00001,0.00001,0.00001,0.00001,0.999914
TresMarias,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99992
Ciudad Guzman,0.001212,0.33574,0.00001,0.00001,0.082991,0.023966,0.076197,0.479864,0.00001
Ciudad Guzman,0.00001,0.352244,0.002465,0.00001,0.090387,0.00001,0.097174,0.457691,0.00001
Ciudad Guzman,0.000011,0.422603,0.004672,0.00001,0.102688,0.036177,0.047761,0.386068,0.00001
Regocijo-S,0.00001,0.525367,0.00001,0.00001,0.00001,0.00001,0.474563,0.00001,0.00001
Regocijo-S,0.00001,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
Regocijo-S,0.00001,0.901238,0.00001,0.00001,0.00001,0.00001,0.098692,0.00001,0.00001
Regocijo-S,0.00001,0.986599,0.00001,0.013331,0.00001,0.00001,0.00001,0.00001,0.00001
Regocijo-S,0.00001,0.921571,0.000014,0.043184,0.00001,0.00001,0.035182,0.00001,0.00001
Regocijo-S,0.00001,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
Regocijo-S,0.00001,0.930084,0.016934,0.00001,0.00001,0.020087,0.032845,0.00001,0.00001
Regocijo-S,0.00001,0.963798,0.00001,0.036132,0.00001,0.00001,0.00001,0.00001,0.00001
Regocijo-S,0.003058,0.854898,0.00001,0.04581,0.00001,0.00001,0.096184,0.00001,0.00001
Regocijo-S,0.00001,0.945679,0.00001,0.054251,0.00001,0.00001,0.00001,0.00001,0.00001
Regocijo-S,0.00001,0.959645,0.00001,0.040285,0.00001,0.00001,0.00001,0.00001,0.00001
Regocijo-S,0.00001,0.913327,0.00001,0.000635,0.00001,0.00001,0.085978,0.00001,0.00001
EspinazoDiablo,0.00001,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
EspinazoDiablo,0.00001,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
EspinazoDiablo,0.00001,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
EspinazoDiablo,0.111674,0.875727,0.00001,0.00001,0.012539,0.00001,0.00001,0.00001,0.00001
EspinazoDiablo,0.00001,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
EspinazoDiablo,0.00001,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
EspinazoDiablo,0.00001,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
EspinazoDiablo,0.00001,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
EspinazoDiablo,0.00001,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
EspinazoDiablo,0.00001,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
EspinazoDiablo,0.00001,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
Huautla,0.528781,0.00001,0.00001,0.068045,0.039394,0.197541,0.00001,0.166199,0.00001
Huautla,0.549737,0.00001,0.00001,0.077869,0.02884,0.197211,0.00001,0.146303,0.00001
Huautla,0.605092,0.00001,0.00001,0.072149,0.037058,0.175427,0.00001,0.110233,0.00001
Huautla,0.601888,0.00001,0.00001,0.075552,0.024574,0.184308,0.00001,0.113637,0.00001
Huautla,0.562859,0.00001,0.00001,0.093952,0.03152,0.178529,0.00001,0.133099,0.00001
Huautla,0.572794,0.00001,0.00001,0.105538,0.030336,0.192939,0.00001,0.098353,0.00001
Huautla,0.553856,0.00001,0.00001,0.081709,0.028808,0.208373,0.00001,0.127214,0.00001
Huautla,0.584957,0.00001,0.002078,0.08299,0.029715,0.17839,0.00001,0.12184,0.00001
Altotonga,0.580088,0.00001,0.00001,0.065903,0.00001,0.331828,0.00001,0.02213,0.00001
Altotonga,0.604627,0.00001,0.00001,0.026801,0.00001,0.368512,0.00001,0.00001,0.00001
Altotonga,0.53521,0.00001,0.00001,0.062091,0.00001,0.344199,0.00001,0.05845,0.00001
Altotonga,0.610597,0.00001,0.00001,0.050493,0.00001,0.317714,0.00001,0.021147,0.00001
Altotonga,0.623588,0.00001,0.00001,0.012086,0.00001,0.363717,0.00001,0.000559,0.00001
Altotonga,0.60216,0.000012,0.00001,0.024671,0.00001,0.373107,0.00001,0.00001,0.00001
Altotonga,0.59721,0.00001,0.00001,0.036793,0.00001,0.332575,0.00001,0.033372,0.00001
Altotonga,0.546785,0.00001,0.00001,0.058357,0.00001,0.332156,0.00001,0.062652,0.00001
Altotonga,0.580735,0.00001,0.00001,0.05649,0.00001,0.31264,0.00001,0.050084,0.00001
Zicanantan,0.729203,0.00001,0.002121,0.033465,0.062406,0.092573,0.075523,0.004689,0.00001
Zicanantan,0.590216,0.00001,0.00001,0.126622,0.228112,0.055,0.00001,0.00001,0.00001
Zicanantan,0.688845,0.00001,0.00001,0.104519,0.174183,0.032403,0.00001,0.00001,0.00001
Naha,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
Naha,0.999914,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.000016,0.00001
Naha,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
Naha,0.999916,0.00001,0.00001,0.000014,0.00001,0.00001,0.00001,0.00001,0.00001
Naha,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
Naha,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
Naha,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
Naha,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
Naha,0.999917,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.000013,0.00001
Naha,0.999918,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.000012,0.00001
Naha,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
Naha,0.999915,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.000015,0.00001
GonzalezLeon,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
GonzalezLeon,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
GonzalezLeon,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
